Period ID,Organisation unit ID,Period UID,Organisation unit UID,Period,Organisation unit,Period code,Organisation unit code,Period description,Organisation unit description,Reporting month,Organisation unit parameter,Organisation unit is parent,Adv Events foll Imm(AEFI),BCG doses adm.,DPT1 doses adm.,DPT2 doses adm.,DPT3 doses adm.,Fully Immunised Children,Measles doses adm.,OPV1 doses adm.,OPV2 doses adm.,OPV3 doses adm.,OPV Birth doses adm.,Pneumococal1 adm.,Pneumococal 2 adm.,Pneumococal3 Administered,TT for pregn. women,TT for Trauma,Vitamin A 2-5,Vitamin A 12-59,Vitamin A 6-11,Vitamin A Adult,Vit A 6-11 months,Vit A  >1 years,Vit A Lact. Mothers,Yellow Fever adm.,BCG in stock,BCG in received,BCG in remaining,DPT+HIB+HEP B in sto,DPT+HIB+HEP B receiv,DPT+HIB+HEP B remain,OPV in stock,OPV received,OPV remaining,Pneumococal in stock,Pneumococal received,Pneumococal remainin,TT dose in stock,TT dose received,TT dose remaining,Yellow Fever in stoc,Yellow Fever receive,Yellow Fever remaini,Vitamin A 100 stock,Vitamin A 100 receiv,Vitamin A 100 remain,Vitamin A 200 stock,Vitamin A 200 receiv,Vitamin A 200 remain,Vitamin A 50 stock,Vitamin A 50 receive,Vitamin A 50 remaini,"Vitamin A  200,000IU",Vitamin A Lactating ,Vitamin A Supplement
112468,231437,201206,AKlZaYm30Z0,Jun-12,agana (Nachu),201206,,,,Jun-12,Kenya,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112468,231439,201206,OvcCcUiEsBr,Jun-12,Ambassadors of Mercy,201206,,,,Jun-12,Kenya,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112468,32694,201206,QolMKv3x28D,Jun-12,Enkasiti Roses Farm Clinic,201206,10172,,,Jun-12,Kenya,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112468,32700,201206,LkV5kJMdakx,Jun-12,Gatanga Dispensary,201206,10207,,,Jun-12,Kenya,No,,1,,,1,2,2,,,1,1,,,1,3,85,,,,,,,,,,60,40,102,,101,50,,49,119,,118,65,,52,,,,30,,29,50,,49,,,,1,,1
112468,32701,201206,d7LVe4aXZQQ,Jun-12,Gathanji Dispensary,201206,17058,,,Jun-12,Kenya,No,,,1,3,7,9,9,1,3,7,,1,3,7,2,63,,21,1,36,,,,,,100,100,50,30,70,20,60,60,36,50,70,20,100,60,,,,,,,60,,12,,,,,,
112468,32703,201206,dUO3G9O89X7,Jun-12,Gatunyu  Dispensary,201206,10234,,,Jun-12,Kenya,No,,23,21,23,30,16,16,21,23,30,9,21,23,31,45,113,,189,,2,,,,,80,20,,60,100,100,,200,100,44,100,52,180,100,40,,,,159,,130,129,187,110,,,,7,2,27
112468,32704,201206,KKndGuWgx1c,Jun-12,Gatura Healh Centre,201206,10236,,,Jun-12,Kenya,No,,47,34,30,29,33,33,34,30,29,22,34,30,29,31,77,,1,,5,,,,,120,100,120,120,,50,220,,100,140,,34,260,,120,,,,,,,550,,500,,,,7,28,8
112468,32706,201206,DHhvKF17jGH,Jun-12,Giachuki Medical Clinic,201206,10246,,,Jun-12,Kenya,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112468,45246,201206,eRAOFBm0YHQ,Jun-12,Giatutu Dispensary,201206,17421,,,Jun-12,Kenya,No,,4,9,14,10,12,12,9,14,10,1,9,14,10,15,79,,,,,,,,,,100,20,70,,40,70,40,60,100,,62,100,60,100,,,,,,,600,500,600,,,,22,,29
112468,32711,201206,EgZh5MF3p8h,Jun-12,Gituamba (AIPCA) Dispensary,201206,10020,,,Jun-12,Kenya,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
